Recording Name,Model Name,Score
H1.30.1,H1.256,-57.44675777160279
H1.30.1,H2.256,-505.39735502554424
H1.30.1,H4.256,-478.3480092600642
H1.30.1,H5.256,-826.8049587962499
H1.30.1,H6.256,-382.4292554420922
H1.30.1,H7.256,-104.56509483070269
H1.30.1,H8.256,-85.7334012098508
H1.30.1,H9.256,-91.83897633190112
H1.30.2,H1.256,-56.78999127956921
H1.30.2,H2.256,-456.39964289322006
H1.30.2,H4.256,-462.9993350078664
H1.30.2,H5.256,-697.3149671855854
H1.30.2,H6.256,-373.6068883583385
H1.30.2,H7.256,-103.3763639097827
H1.30.2,H8.256,-82.06736507597614
H1.30.2,H9.256,-92.38058518950783
H2.30.1,H1.256,-82.43875788847775
H2.30.1,H2.256,-54.35932657492033
H2.30.1,H4.256,-587.0676465001907
H2.30.1,H5.256,-1839.7650183046896
H2.30.1,H6.256,-465.2266679199724
H2.30.1,H7.256,-97.81655506362846
H2.30.1,H8.256,-80.60581337661513
H2.30.1,H9.256,-126.31628557684566
H2.30.2,H1.256,-81.88652507244721
H2.30.2,H2.256,-53.896758306895585
H2.30.2,H4.256,-585.9096775797899
H2.30.2,H5.256,-1837.1023929119845
H2.30.2,H6.256,-462.5111547481361
H2.30.2,H7.256,-97.2373973181465
H2.30.2,H8.256,-80.6768251918362
H2.30.2,H9.256,-127.17448005873953
H4.30.1,H1.256,-138.3253295019557
H4.30.1,H2.256,-1031.2059832463503
H4.30.1,H4.256,-43.38998310521658
H4.30.1,H5.256,-827.4406572303101
H4.30.1,H6.256,-795.6632482036056
H4.30.1,H7.256,-162.100239746412
H4.30.1,H8.256,-164.31260820587477
H4.30.1,H9.256,-145.2094683491935
H4.30.2,H1.256,-135.54642478406515
H4.30.2,H2.256,-1022.7125371367573
H4.30.2,H4.256,-43.3382675950795
H4.30.2,H5.256,-789.7819938170811
H4.30.2,H6.256,-779.8838866995837
H4.30.2,H7.256,-158.79323069568306
H4.30.2,H8.256,-160.70126066094218
H4.30.2,H9.256,-142.34651282974767
H5.30.1,H1.256,-63.23707209941983
H5.30.1,H2.256,-261.47041527545133
H5.30.1,H4.256,-365.5847989420375
H5.30.1,H5.256,-37.87481692310488
H5.30.1,H6.256,-456.47637956663243
H5.30.1,H7.256,-87.99080407870348
H5.30.1,H8.256,-71.1577323635635
H5.30.1,H9.256,-94.9443017036754
H5.30.2,H1.256,-63.357574049635645
H5.30.2,H2.256,-257.8061362986737
H5.30.2,H4.256,-354.1009400935048
H5.30.2,H5.256,-38.488095646766965
H5.30.2,H6.256,-440.01218873148525
H5.30.2,H7.256,-86.95116232596469
H5.30.2,H8.256,-70.27033335071482
H5.30.2,H9.256,-95.50468611234218
H6.30.1,H1.256,-499.2844543557705
H6.30.1,H2.256,-12420.925912408517
H6.30.1,H4.256,-22392.209371411474
H6.30.1,H5.256,-6533.028107885832
H6.30.1,H6.256,-64.4712474222121
H6.30.1,H7.256,-266.9252062561966
H6.30.1,H8.256,-357.77072048107516
H6.30.1,H9.256,-528.7996145216891
H6.30.2,H1.256,-469.4557973873147
H6.30.2,H2.256,-11381.986540408732
H6.30.2,H4.256,-20962.33810200008
H6.30.2,H5.256,-7219.149095734749
H6.30.2,H6.256,-64.51589753675385
H6.30.2,H7.256,-270.7090242848522
H6.30.2,H8.256,-342.5984328853589
H6.30.2,H9.256,-505.7143813536053
H7.30.1,H1.256,-191.28733261269826
H7.30.1,H2.256,-1042.4031261527655
H7.30.1,H4.256,-837.9556954080136
H7.30.1,H5.256,-704.2409162996956
H7.30.1,H6.256,-611.5999285927468
H7.30.1,H7.256,-49.33174903884187
H7.30.1,H8.256,-145.16697852866915
H7.30.1,H9.256,-225.5208488859991
H7.30.2,H1.256,-191.01029895315887
H7.30.2,H2.256,-1061.9495475127324
H7.30.2,H4.256,-853.2536902316267
H7.30.2,H5.256,-742.1224445124857
H7.30.2,H6.256,-628.2946746251496
H7.30.2,H7.256,-49.16398188945939
H7.30.2,H8.256,-146.03908661844972
H7.30.2,H9.256,-226.88584197878077
H8.30.1,H1.256,-103.41706001674824
H8.30.1,H2.256,-885.9918764906986
H8.30.1,H4.256,-2029.3663546483206
H8.30.1,H5.256,-1137.4824958832564
H8.30.1,H6.256,-370.2978412889935
H8.30.1,H7.256,-116.69415507174699
H8.30.1,H8.256,-53.57563823664503
H8.30.1,H9.256,-110.39520974559103
H8.30.2,H1.256,-102.87054431366637
H8.30.2,H2.256,-882.8832221684183
H8.30.2,H4.256,-1992.0074847469623
H8.30.2,H5.256,-1275.4959799786309
H8.30.2,H6.256,-374.21571434025054
H8.30.2,H7.256,-112.3212110772658
H8.30.2,H8.256,-52.75642685470445
H8.30.2,H9.256,-111.30213148865305
H9.30.1,H1.256,-89.04017641087177
H9.30.1,H2.256,-1056.8662863535503
H9.30.1,H4.256,-686.1749416494888
H9.30.1,H5.256,-1838.6950035754248
H9.30.1,H6.256,-512.4932403155806
H9.30.1,H7.256,-143.90987532880104
H9.30.1,H8.256,-120.91880359474258
H9.30.1,H9.256,-59.61006741127667
H9.30.2,H1.256,-91.78368818579675
H9.30.2,H2.256,-1026.1175433193578
H9.30.2,H4.256,-744.301392796216
H9.30.2,H5.256,-1584.7927010804847
H9.30.2,H6.256,-531.3296716338568
H9.30.2,H7.256,-145.1310519980912
H9.30.2,H8.256,-125.88066038773701
H9.30.2,H9.256,-56.87850058648976
